Pride and Prejudice, Jane Austen, 2008
Sense and Sensibility, Jane Austen, 2008
Great Expectations, Charles Dickens, 2008
Madame Bovary, Gustave Flaubert, 2008
Wuthering Heights, Emily Brontë, 2008
Cranford, Elizabeth Gaskell, 2008
Tess of the D’Urbervilles, Thomas Hardy, 2008
Crime and Punishment, Fyodor Dostoevsky, 2008
Jane Eyre, Charlotte Brontë, 2008
The Picture of Dorian Grey, Oscar Wilde, 2008
Little Women, Louisa May Alcott, 2009
The Woman in White, Wilkie Collins, 2009
The Hound of the Baskervilles, Arthur Conan Doyle, 2009
The Odyssey, Homer, 2009
Alice’s Adventures in Wonderland and Through the Looking Glass, Lewis Carrol, 2009
Treasure Island, Robert Louis Stevenson, 2009
Emma, Jane Austen, 2009
Lady Chatterley’s Lover, D. H. Lawrence, 2009
Oliver Twist, Charles Dickens, 2009
The Sonnets and A Lover’s Complaint, William Shakespeare, 2009
A Christmas Carol and other Christmas Writings, Charles Dickens, 2010
Inferno: The Divine Comedy I, Dante, 2010
Gulliver’s Travels, Jonathan Swif, 2010
Dracula, Bram Stoker, 2011
A Tale of Two Cities, Charles Dickens, 2011
Middlemarch, George Elliot, 2011
Hard Times, Charles Dickens, 2011
Bleak House, Charles Dickens, 2011
Mansfield Park, Jane Austen, 2011
Northanger Abbey, Jane Austen, 2011
Persuasion, Jane Austen, 2011
Jabberwocky and Other Nonsense, Lewis Carroll, 2012
Les Miserables, Victor Hugo, 2012
The Count of Monte Cristo, Alexandre Dumas, 2012
Vanity Fair, William Makepeace Thackery, 2013
Moby-Dick, Herman Melville, 2013
Far From the Madding Crowd, Thomas Hardy, 2013
The Canterbury Tales, Geoffrey Chaucer, 2013
Frankenstein, Mary Shelley, 2013
The Adventures of Huckleberry Finn, Mark Twain, 2013
Robinson Crusoe, Daniel Defoe, 2013
Anna Karenina, Leo Tolstoy, 2013
Metamorphoses, Ovid, 2014
Jungle Books, Rudyard Kipling, 2014
Paradise Lost, John Milton, 2014
David Copperfield, Charles Dickens, 2014
The Pearl, John Steinbeck, 2014
Love and Freindship, Jane Austen, 2014
Portrait of a Lady, Henry James, 2014
The Iliad, Homer, 2014
The Travels, Marco Polo, 2015
War and Peace, Leo Tolstoy, 2016
The Tenant of Wildfell Hall, Anne Bronte, 2016
Villette, Charlotte Bronte, 2016
Naked Lunch, William D Burroughs, 2016
Wide Sargasso Sea, Jean Rhys, 2016
Orlando, Virginia Woolf, 2016
A Confederacy of Dunces, John Kennedy Toole, 2016
The Day of the Triffids, John Wyndham, 2016
Brideshead Revisited, Evelyn Waugh, 2016
Remembrance of Things Past: Volume 1, Marcel Proust, 2016
Remembrance of Things Past: Volume 2, Marcel Proust, 2016
Remembrance of Things Past: Volume 3, Marcel Proust, 2016
Twenty Thousand Leagues Under the Sea, Jules Verne, 2017
Don Quixote, Miguel Cervantes, 2018
The Ring of the Nibelung, Richard Wagner, 2018
The Mayor of Casterbridge, Thomas Hardy, 2018
The Adventures of Sherlock Holmes, Arthur Conan Doyle, 2018
The War of the Worlds, H. G. Wells, 2018
Jude the Obscure, Thomas Hardy, 2019
Tales from 1001 Nights,  , 2019
Sanditon, Jane Austen, 2019
Grimm Tales for Young and Old, Philip Pullman, 2020
Mrs Dalloway, Virginia Woolf, 2020
Nineteen Eighty-Four, George Orwell, 2021
Animal Farm, George Orwell, 2021
Monkey King, Wu Cheng’en, 2021
The Lonely Londoners, Sam Selvon, 2021
The Little Prince, Antoine de Saint-Exupéry, 2021
The Aeneid, Virgil, 2021
Around the World in Eighty Days, Jules Verne, 2021
The Penguin Book of Christmas Stories edited, Jessica Harrison, 2021
Ulysses, James Joyce, 2022
On the Road, Jack Kerouac, 2022
The Turn of the Screw, Henry James, 2022
The Outsider, Albert Camus, 2022
The Life and Opinions of Tristram Shandy, Laurence Sterne, 2023
The Master and the Margarita, Mikhail Bulgakov, 2023
The Strange Case of Dr Jekyll and Mr Hyde, Robert Louis Stevenson, 2023
Lolita, Vladimir Nabokov, 2023
